Type, Quantum, Average Response Time, Context Switch Time, Queue Usage
fcfs, 0, 2.86383725, 0.00000817, 0
sjf, 0, 2.85609253, 0.00000817, 0
mlfq, 84000, 2.98237753, 0.00001991, 1.000
rr, 17000, 4.65037814, 0.00059414, 0
fcfs, 0, 2.85582756, 0.00000817, 0
sjf, 0, 2.85630246, 0.00000754, 0
mlfq, 84000, 2.98201475, 0.00002130, 1.000
rr, 17000, 4.65052987, 0.00060789, 0
fcfs, 0, 2.85584964, 0.00003499, 0
sjf, 0, 2.85617905, 0.00000817, 0
mlfq, 84000, 2.98319181, 0.00001990, 1.000
rr, 17000, 4.65048513, 0.00061797, 0
fcfs, 0, 2.86005449, 0.00000775, 0
sjf, 0, 2.85577687, 0.00000852, 0
mlfq, 84000, 2.98399376, 0.00001949, 1.000
rr, 17000, 4.65206728, 0.00057529, 0
fcfs, 0, 2.85541499, 0.00000726, 0
sjf, 0, 2.85606289, 0.00000817, 0
mlfq, 84000, 2.98303234, 0.00002354, 1.000
rr, 17000, 4.65236650, 0.00063717, 0
fcfs, 0, 2.85592113, 0.00000747, 0
sjf, 0, 2.85665341, 0.00000712, 0
mlfq, 84000, 2.98229263, 0.00002018, 1.000
rr, 17000, 4.58635926, 0.00062711, 0
fcfs, 0, 2.85933572, 0.00000796, 0
sjf, 0, 2.85594231, 0.00000845, 0
mlfq, 84000, 2.98334801, 0.00001990, 1.000
rr, 17000, 4.65500664, 0.00061719, 0
fcfs, 0, 2.85891059, 0.00000775, 0
sjf, 0, 2.85620933, 0.00000775, 0
mlfq, 84000, 2.98299058, 0.00001956, 1.000
rr, 17000, 4.65070466, 0.00062124, 0
fcfs, 0, 2.85676600, 0.00000817, 0
sjf, 0, 2.85553780, 0.00000803, 0
mlfq, 84000, 2.98240599, 0.00001983, 1.000
rr, 17000, 4.65110721, 0.00061091, 0
fcfs, 0, 2.85587514, 0.00000810, 0
sjf, 0, 2.85601864, 0.00000824, 0
mlfq, 84000, 2.98229408, 0.00001893, 1.000
rr, 17000, 4.65185381, 0.00061210, 0
fcfs, 0, 2.85825231, 0.00000754, 0
sjf, 0, 2.85566966, 0.00000803, 0
mlfq, 84000, 2.98259735, 0.00001851, 1.000
rr, 17000, 4.65185111, 0.00063732, 0
fcfs, 0, 2.85541212, 0.00000747, 0
sjf, 0, 2.85577519, 0.00000845, 0
mlfq, 84000, 2.98251654, 0.00002116, 1.000
rr, 17000, 4.65111622, 0.00063835, 0
fcfs, 0, 2.85655595, 0.00000796, 0
sjf, 0, 2.85735890, 0.00000720, 0
mlfq, 84000, 2.98253821, 0.00002004, 1.000
rr, 17000, 4.65116624, 0.00059937, 0
fcfs, 0, 2.85549321, 0.00000768, 0
sjf, 0, 2.85557702, 0.00000838, 0
mlfq, 84000, 2.98382589, 0.00002193, 1.000
rr, 17000, 4.65123738, 0.00058618, 0
fcfs, 0, 2.85703377, 0.00000663, 0
sjf, 0, 2.85633906, 0.00000761, 0
mlfq, 84000, 2.98328501, 0.00001969, 1.000
rr, 17000, 4.65106173, 0.00066306, 0
fcfs, 0, 2.85602116, 0.00000719, 0
sjf, 0, 2.85686383, 0.00000859, 0
mlfq, 84000, 2.98312179, 0.00002109, 1.000
rr, 17000, 4.65550971, 0.00061048, 0
fcfs, 0, 2.86041260, 0.00000845, 0
sjf, 0, 2.85617179, 0.00000719, 0
mlfq, 84000, 2.98388117, 0.00002158, 1.000
rr, 17000, 4.65172759, 0.00060866, 0
fcfs, 0, 2.85587821, 0.00000901, 0
sjf, 0, 2.85599914, 0.00000866, 0
mlfq, 84000, 2.98162717, 0.00002018, 1.000
rr, 17000, 4.65098696, 0.00064191, 0
fcfs, 0, 2.85554477, 0.00000957, 0
sjf, 0, 2.85599552, 0.00000803, 0
mlfq, 84000, 2.98366652, 0.00001948, 1.000
rr, 17000, 4.65161806, 0.00070371, 0
fcfs, 0, 2.85649320, 0.00000712, 0
sjf, 0, 2.85553057, 0.00000810, 0
mlfq, 84000, 2.98192080, 0.00002137, 1.000
rr, 17000, 4.65106229, 0.00065309, 0
fcfs, 0, 2.85614120, 0.00000768, 0
sjf, 0, 2.85590223, 0.00000782, 0
mlfq, 84000, 2.98217753, 0.00001914, 1.000
rr, 17000, 4.62131304, 0.00072488, 0
fcfs, 0, 2.86058839, 0.00000824, 0
sjf, 0, 2.85598599, 0.00000803, 0
mlfq, 84000, 2.98163440, 0.00002130, 1.000
rr, 17000, 4.62133317, 0.00063059, 0
fcfs, 0, 2.85560331, 0.00000754, 0
sjf, 0, 2.85662879, 0.00000671, 0
mlfq, 84000, 2.98188780, 0.00002109, 1.000
rr, 17000, 4.65102866, 0.00059609, 0
fcfs, 0, 2.85539517, 0.00000754, 0
sjf, 0, 2.85548558, 0.00000775, 0
mlfq, 84000, 2.98301963, 0.00002040, 1.000
rr, 17000, 4.65513662, 0.00062578, 0
fcfs, 0, 2.86056718, 0.00000810, 0
sjf, 0, 2.85628227, 0.00000845, 0
mlfq, 84000, 2.98222386, 0.00001970, 1.000
rr, 17000, 4.65016835, 0.00057752, 0
fcfs, 0, 2.85594817, 0.00000670, 0
sjf, 0, 2.85624891, 0.00000768, 0
mlfq, 84000, 2.98197301, 0.00002158, 1.000
rr, 17000, 4.65144451, 0.00074324, 0
fcfs, 0, 2.85587639, 0.00000803, 0
sjf, 0, 2.85604394, 0.00000810, 0
mlfq, 84000, 2.98184991, 0.00002067, 1.000
rr, 17000, 4.65141085, 0.00061524, 0
fcfs, 0, 2.85598803, 0.00000817, 0
sjf, 0, 2.85595329, 0.00000852, 0
mlfq, 84000, 2.98294174, 0.00002067, 1.000
rr, 17000, 4.65192535, 0.00063305, 0
fcfs, 0, 2.85580657, 0.00000719, 0
sjf, 0, 2.85619473, 0.00000796, 0
mlfq, 84000, 2.98308044, 0.00002193, 1.000
rr, 17000, 4.65126076, 0.00063641, 0
fcfs, 0, 2.85617720, 0.00000712, 0
sjf, 0, 2.85566944, 0.00000761, 0
mlfq, 84000, 2.98205007, 0.00002137, 1.000
rr, 17000, 4.65125936, 0.00074263, 0
fcfs, 0, 2.85568871, 0.00000705, 0
sjf, 0, 2.85608649, 0.00000768, 0
mlfq, 84000, 2.98192462, 0.00002074, 1.000
rr, 17000, 4.65136325, 0.00060574, 0
fcfs, 0, 2.85706621, 0.00000705, 0
sjf, 0, 2.85601660, 0.00000719, 0
mlfq, 84000, 2.98226129, 0.00001893, 1.000
rr, 17000, 4.65133748, 0.00061083, 0
fcfs, 0, 2.85548292, 0.00000713, 0
sjf, 0, 2.85560385, 0.00000845, 0
mlfq, 84000, 2.98215384, 0.00002053, 1.000
rr, 17000, 4.65072710, 0.00063340, 0
fcfs, 0, 2.85552450, 0.00000761, 0
sjf, 0, 2.85565264, 0.00000761, 0
mlfq, 84000, 2.98219178, 0.00002172, 1.000
rr, 17000, 4.65064477, 0.00062710, 0
fcfs, 0, 2.85593342, 0.00000859, 0
sjf, 0, 2.85619127, 0.00000803, 0
mlfq, 84000, 2.98239897, 0.00002053, 1.000
rr, 17000, 4.65242903, 0.00062171, 0
fcfs, 0, 2.85561438, 0.00000775, 0
sjf, 0, 2.85604015, 0.00000908, 0
mlfq, 84000, 2.98315365, 0.00002123, 1.000
rr, 17000, 4.65211485, 0.00060523, 0
fcfs, 0, 2.85557133, 0.00000713, 0
sjf, 0, 2.85599165, 0.00021735, 0
mlfq, 84000, 2.98187287, 0.00001983, 1.000
rr, 17000, 4.65073681, 0.00065128, 0
fcfs, 0, 2.85666722, 0.00000859, 0
sjf, 0, 2.85621874, 0.00000845, 0
mlfq, 84000, 2.98336117, 0.00001893, 1.000
rr, 17000, 4.65247479, 0.00060630, 0
fcfs, 0, 2.85650786, 0.00000733, 0
sjf, 0, 2.85567883, 0.00000852, 0
mlfq, 84000, 2.98331951, 0.00001837, 1.000
rr, 17000, 4.65197914, 0.00060817, 0
fcfs, 0, 2.85569519, 0.00000817, 0
sjf, 0, 2.85565440, 0.00000761, 0
mlfq, 84000, 2.98231540, 0.00001844, 1.000
rr, 17000, 4.65171368, 0.00063562, 0
fcfs, 0, 2.85623269, 0.00000880, 0
sjf, 0, 2.85623263, 0.00000817, 0
mlfq, 84000, 2.98400242, 0.00002130, 1.000
rr, 17000, 4.65118590, 0.00065434, 0
fcfs, 0, 2.85528290, 0.00000726, 0
sjf, 0, 2.85544200, 0.00000803, 0
mlfq, 84000, 2.98217282, 0.00009582, 1.000
rr, 17000, 4.65021406, 0.00061154, 0
fcfs, 0, 2.85594538, 0.00000657, 0
sjf, 0, 2.85602515, 0.00000810, 0
mlfq, 84000, 2.98294392, 0.00001837, 1.000
rr, 17000, 4.65142338, 0.00064401, 0
fcfs, 0, 2.85575569, 0.00000908, 0
sjf, 0, 2.85577758, 0.00000796, 0
mlfq, 84000, 2.98400876, 0.00002130, 1.000
rr, 17000, 4.59876311, 0.00061641, 0
fcfs, 0, 2.85727086, 0.00000664, 0
sjf, 0, 2.85674272, 0.00000803, 0
mlfq, 84000, 2.98211274, 0.00001851, 1.000
rr, 17000, 4.65080635, 0.00061482, 0
fcfs, 0, 2.85577910, 0.00000712, 0
sjf, 0, 2.85575983, 0.00000817, 0
